duration,orig_bytes,resp_bytes,orig_pkts,resp_pkts,missed_bytes,history_len,proto_tcp,proto_udp,service_http,service_dns,label
1.23,3200,18400,22,31,0,8,1,0,0,0,0
0.08,74,210,1,1,0,2,0,1,0,1,0
2.95,4820,36100,35,48,0,8,1,0,1,0,0
4.18,6200,52800,44,70,0,6,1,0,1,0,0
0.04,68,184,1,1,0,2,0,1,0,1,0
1.71,2100,9800,15,22,0,7,1,0,1,0,0
3.42,9100,44500,51,64,0,8,1,0,1,0,0
0.19,96,310,1,2,0,2,0,1,0,1,0
2.12,4100,19600,27,34,0,8,1,0,0,0,0
5.77,12500,76200,69,82,1,7,1,0,1,0,0
1.03,860,4200,8,11,0,4,1,0,0,0,0
0.12,112,330,2,2,0,2,0,1,0,1,0
6.44,18000,98000,88,103,0,8,1,0,1,0,0
2.56,5200,23000,30,39,0,6,1,0,1,0,0
0.33,400,1200,4,5,0,2,0,1,0,1,0
1.89,3300,15200,20,28,0,8,1,0,0,0,0
3.06,7400,33100,46,55,0,8,1,0,1,0,0
0.27,180,620,2,3,0,2,0,1,0,1,0
2.78,6600,24400,38,44,0,7,1,0,1,0,0
4.91,14200,68100,75,86,0,8,1,0,1,0,0
0.12,125000,420,180,4,8,2,1,0,0,0,1
0.31,410000,1300,420,18,13,6,1,0,1,0,1
0.05,780000,900,590,7,19,1,1,0,1,0,1
0.18,95000,700,120,5,5,2,1,0,0,0,1
0.42,260000,2400,280,14,11,5,1,0,1,0,1
0.09,33000,160,95,1,4,1,0,1,0,1,1
0.64,540000,6200,460,52,16,5,1,0,1,0,1
0.21,144000,850,210,8,9,3,1,0,0,0,1
0.11,87000,210,105,2,6,2,1,0,0,0,1
0.73,650000,4800,530,31,23,6,1,0,1,0,1
0.16,74000,360,98,3,7,1,1,0,0,0,1
0.58,310000,2100,350,20,14,5,1,0,1,0,1
0.07,48000,190,110,1,5,2,0,1,0,1,1
0.29,190000,1100,240,9,10,4,1,0,0,0,1
0.37,275000,1700,300,15,12,5,1,0,1,0,1
0.14,69000,250,100,2,6,1,1,0,0,0,1
0.83,720000,5300,575,44,20,6,1,0,1,0,1
0.25,132000,640,185,6,8,2,1,0,0,0,1
0.48,355000,2600,390,22,15,5,1,0,1,0,1
0.10,51000,205,102,1,5,2,0,1,0,1,1
